Chelator,SecondaryFeed,Ni_removed_pct,Co_removed_pct
EDTA,Na2SO4,3.28341192931544,0.895475980722392
EDTA,H2SO4,2.46255894698658,0.671606985541794
DTPA,Na2SO4,2.95507073638389,0.805928382650153
DTPA,H2SO4,2.21630305228792,0.604446286987615
HEDTA,Na2SO4,2.62672954345235,0.716380784577914
HEDTA,H2SO4,1.97004715758926,0.537285588433435
GLDA,Na2SO4,2.46255894698658,0.671606985541794
GLDA,H2SO4,1.84691921023993,0.503705239156345
none,Na2SO4,0.656682385863088,0.179095196144478
none,H2SO4,0.492511789397316,0.134321397108359
